Breach,ascent,3,2023-07-18,0.8,11.5,14.3,5.1,47.2,1.4,173,0.1,2630
Harbor,ascent,3,2023-07-18,0.74,10.9,14.7,4.7,47.2,0.8,160,0.1,1456
Yoru,ascent,3,2023-07-18,0.8,11.8,14.6,3.9,46.9,4.8,173,0.1,8881
KAY/O,ascent,3,2023-07-18,0.72,10.4,14.5,6.9,46.6,2.6,161,0.1,4760
Killjoy,lotus,4,2023-07-18,0.86,12,13.9,4,51.2,4.3,178,0.1,32222
Breach,lotus,4,2023-07-18,0.86,12.8,14.8,5.8,51.1,1.9,186,0.1,14010
Skye,lotus,4,2023-07-18,0.81,11.7,14.5,7.3,50.6,5.0,173,0.1,37839
Raze,lotus,4,2023-07-18,0.93,13.8,14.9,5.2,50.5,7.6,212,0.2,57796
Reyna,lotus,4,2023-07-18,1.01,15,14.8,4.7,50.3,10.5,219,0.2,79455
Brimstone,lotus,4,2023-07-18,0.86,12.5,14.5,6.4,50.3,3.6,186,0.1,27457
Sage,lotus,4,2023-07-18,0.78,11.1,14.3,6.3,50.3,12.0,163,0.1,90586
Astra,lotus,4,2023-07-18,0.9,12.6,14.1,4.9,50.1,0.6,183,0.1,4851
Gekko,lotus,4,2023-07-18,0.8,11.8,14.7,4.7,49.9,5.3,171,0.1,39970
Deadlock,lotus,4,2023-07-18,0.87,12.6,14.6,4,49.8,5.5,189,0.1,41474
Cypher,lotus,4,2023-07-18,0.88,12.4,14.1,4.8,49.8,2.4,177,0.1,18323
Omen,lotus,4,2023-07-18,0.87,12.8,14.7,5.2,49.5,7.0,186,0.1,52769
Viper,lotus,4,2023-07-18,0.84,12.2,14.4,5.1,48.9,3.1,181,0.1,23682
Jett,lotus,4,2023-07-18,0.93,13.9,15,4,48.7,5.6,203,0.2,42079
Fade,lotus,4,2023-07-18,0.78,11.5,14.7,6.2,48.7,3.5,171,0.1,26658
Neon,lotus,4,2023-07-18,0.87,13.3,15.3,4.2,48.5,3.8,196,0.2,28906
Chamber,lotus,4,2023-07-18,0.93,13.4,14.4,3.6,48.4,2.4,193,0.2,18359
Phoenix,lotus,4,2023-07-18,0.92,13.5,14.7,4.5,48.4,4.3,200,0.1,32807
Sova,lotus,4,2023-07-18,0.82,11.9,14.5,5.2,48.0,3.5,177,0.1,26729
KAY/O,lotus,4,2023-07-18,0.79,11.7,14.9,8,47.5,2.6,177,0.1,19697
Harbor,lotus,4,2023-07-18,0.8,11.9,14.9,5.5,47.5,1.2,174,0.1,8900
Yoru,lotus,4,2023-07-18,0.87,12.9,14.9,4.3,46.7,4.2,188,0.1,31692
Killjoy,haven,4,2023-07-18,0.86,12,14,3.9,50.8,4.4,178,0.1,33380
Skye,haven,4,2023-07-18,0.81,11.7,14.5,6.7,50.4,4.6,173,0.1,34574
Brimstone,haven,4,2023-07-18,0.87,12.6,14.4,6.2,50.3,3.9,186,0.1,29741
Cypher,haven,4,2023-07-18,0.88,12.3,14,4.8,50.3,2.7,177,0.1,20239
Deadlock,haven,4,2023-07-18,0.86,12.6,14.6,3.9,50.0,5.4,187,0.1,41210
Sage,haven,4,2023-07-18,0.78,11.2,14.4,6,50.0,12.2,164,0.1,92518
Gekko,haven,4,2023-07-18,0.8,11.8,14.7,4.6,49.9,4.9,170,0.1,37166
Breach,haven,4,2023-07-18,0.86,12.8,14.8,5.4,49.7,1.7,187,0.1,12879
Raze,haven,4,2023-07-18,0.91,13.6,14.9,4.6,49.7,7.2,205,0.1,54750
Reyna,haven,4,2023-07-18,1,14.8,14.9,4.4,49.3,10.6,216,0.2,80415
Omen,haven,4,2023-07-18,0.88,12.9,14.7,5,49.1,7.5,186,0.1,57116
Sova,haven,4,2023-07-18,0.82,11.9,14.4,4.8,49.1,4.1,176,0.1,31064
Jett,haven,4,2023-07-18,0.93,13.9,14.9,3.8,48.9,6.0,203,0.2,45869
Fade,haven,4,2023-07-18,0.78,11.6,14.8,5.9,48.8,3.4,170,0.1,26093
Harbor,haven,4,2023-07-18,0.8,11.8,14.8,5.1,48.8,0.8,172,0.1,6359
Viper,haven,4,2023-07-18,0.83,12,14.4,4.8,48.7,2.8,177,0.1,21131
Phoenix,haven,4,2023-07-18,0.92,13.5,14.7,4.2,48.2,4.4,198,0.1,33515
Chamber,haven,4,2023-07-18,0.93,13.3,14.4,3.4,48.2,2.3,190,0.2,17577
KAY/O,haven,4,2023-07-18,0.79,11.8,14.9,7.5,48.0,2.5,177,0.1,18704
Astra,haven,4,2023-07-18,0.89,12.6,14.1,4.7,47.8,0.6,182,0.1,4720
Neon,haven,4,2023-07-18,0.87,13.3,15.3,3.9,47.8,3.6,195,0.2,27607
Yoru,haven,4,2023-07-18,0.87,13,14.9,4,47.2,4.2,188,0.1,32084
Killjoy,fracture,4,2023-07-18,0.86,11.9,13.8,4.1,51.2,4.5,177,0.1,33547
Brimstone,fracture,4,2023-07-18,0.88,12.5,14.2,6.2,50.6,4.8,186,0.1,35770
Sage,fracture,4,2023-07-18,0.77,10.9,14.2,6.3,50.6,12.0,162,0.1,90315
Breach,fracture,4,2023-07-18,0.86,12.6,14.7,5.6,50.5,2.5,186,0.1,18822
Reyna,fracture,4,2023-07-18,1.03,15,14.6,4.6,50.0,10.6,220,0.2,79737
Gekko,fracture,4,2023-07-18,0.8,11.6,14.5,4.6,49.9,5.0,170,0.1,37375
Skye,fracture,4,2023-07-18,0.79,11.4,14.4,7,49.8,4.6,170,0.1,34838
Deadlock,fracture,4,2023-07-18,0.86,12.5,14.5,4,49.5,5.6,181,0.1,42331
Raze,fracture,4,2023-07-18,0.91,13.4,14.8,4.8,49.4,7.3,205,0.1,54547
Fade,fracture,4,2023-07-18,0.78,11.4,14.6,6.1,49.2,3.5,170,0.1,26576
Viper,fracture,4,2023-07-18,0.83,11.8,14.3,4.9,49.0,3.2,176,0.1,24157
Phoenix,fracture,4,2023-07-18,0.92,13.4,14.5,4.4,48.8,4.4,199,0.1,33156
Astra,fracture,4,2023-07-18,0.9,12.6,14,4.8,48.7,0.6,184,0.1,4148
Neon,fracture,4,2023-07-18,0.87,13.2,15.1,4.2,48.6,4.0,196,0.2,29771
Jett,fracture,4,2023-07-18,0.93,13.8,14.8,3.9,48.5,5.5,204,0.2,41209
Omen,fracture,4,2023-07-18,0.85,12.5,14.7,4.9,48.3,6.1,182,0.1,46067
Chamber,fracture,4,2023-07-18,0.92,13.2,14.3,3.5,48.1,2.1,190,0.2,15986
Sova,fracture,4,2023-07-18,0.81,11.7,14.5,4.9,48.0,3.4,174,0.1,25461
Cypher,fracture,4,2023-07-18,0.86,12.1,14,4.7,47.7,2.7,176,0.1,20234
Yoru,fracture,4,2023-07-18,0.86,12.7,14.7,4.2,47.5,4.1,186,0.1,31131
Harbor,fracture,4,2023-07-18,0.8,11.8,14.7,5.2,47.5,0.9,173,0.1,7084
KAY/O,fracture,4,2023-07-18,0.78,11.6,14.8,7.6,46.9,2.5,176,0.1,18953
Killjoy,pearl,4,2023-07-18,0.87,11.9,13.7,4.2,51.3,4.3,179,0.1,32257
Sage,pearl,4,2023-07-18,0.77,10.9,14.3,6.4,50.5,12.2,161,0.1,91820
Cypher,pearl,4,2023-07-18,0.89,12.3,13.9,4.9,50.2,2.8,177,0.1,21256
Brimstone,pearl,4,2023-07-18,0.86,12.4,14.4,6.4,50.2,3.7,185,0.1,27657
Astra,pearl,4,2023-07-18,0.92,12.8,13.9,5.2,50.1,0.8,185,0.1,5931
Skye,pearl,4,2023-07-18,0.8,11.5,14.4,7.3,50.1,4.6,172,0.1,34440
Viper,pearl,4,2023-07-18,0.85,12.1,14.3,5.2,50.1,3.8,179,0.1,28259
Gekko,pearl,4,2023-07-18,0.8,11.6,14.5,4.8,49.8,5.1,169,0.1,38258
Deadlock,pearl,4,2023-07-18,0.87,12.5,14.5,4,49.8,5.5,190,0.1,41137
